"exp","channels","epochs","best_epoch","test_mse","test_l1","test_diff_l1","test_psnr","test_sam","Tmean","tor_pct","infer_mse","infer_l1","infer_sam","fab_mse","fab_sam","coherence"
"baseline_old","16","150","118","0.000677842937875539",,,"31.6887092590332","0.131349787116051","0.755617141723633","0.140400141477585","0.00153293460607529",,"0.222581833600998","0.00072450521402061","0.138399507850409","0.935663402080536"
"hctotal_ar10_50","16","50","50","0.000313299417030066","0.00798607897013426","0.0010627118172124","35.0404052734375","0.0940010994672775","0.781700909137726","0.483845323324203","0.000717503309715539","0.015827227383852","0.134284317493439","0.000455185938335489","0.112742814421654","0.946633458137512"
"longtor_50","16","50","49","0.00029004187672399","0.00748526444658637","0.000979628530330956","35.3753929138184","0.0880969390273094","0.719905853271484","2.12215304374695","0.000539160391781479","0.0127387866377831","0.103350423276424","0.000383043885813095","0.102229117229581","0.90925258398056"
"recon_t06_tor25_50","16","50","50","0.000323622749419883","0.00810370873659849","0.00102399080060422","34.8996086120605","0.0918601229786873","0.709699332714081","3.06377530097961","0.000510223442688584","0.0126816928386688","0.110000587999821","0.000388531075441279","0.104425271973014","0.906284153461456"
"25ch_50","25","50","50","0.00027660746127367","0.00744948582723737","0.00097174511756748","35.5813636779785","0.0841678157448769","0.747076272964478","1.99707818031311","0.000434877059888095","0.0115039888769388","0.0951523780822754","0.000370183553604875","0.0962022688239813","0.925522983074188"
"36ch_50","36","50","49","0.000289216637611389","0.00740687130019069","0.000971785746514797","35.387767791748","0.0855275765061378","0.803942322731018","1.43409550189972","0.000516902247909456","0.0122847333550453","0.100561916828156","0.000340518864686601","0.0938553921878338","0.956535995006561"
"16ch_150","16","150","150","0.000192354680621065","0.0061425524763763","0.000821073539555073","37.1589736938477","0.071289025247097","0.677830994129181","1.99855005741119","0.000380877638235688","0.0101780602708459","0.084831528365612","0.000284813065809431","0.0856343686580658","0.886607944965363"
"25ch_150","25","150","141","0.000153493412653916","0.00551223894581199","0.000780263333581388","38.139102935791","0.0655247718095779","0.689120948314667","1.99683833122253","0.000285728776361793","0.0085701746866107","0.0723801627755165","0.000253296628943644","0.0820570070296526","0.893870234489441"
"36ch_150","36","150","148","0.000227605589316227","0.00650171376764774","0.00087821192573756","36.4281692504883","0.0768227651715279","0.78837913274765","1.49403369426727","0.000443299271864817","0.0109870741143823","0.0915243476629257","0.000285173725569621","0.0868805646896362","0.948528587818146"
