channel,ratio_D_over_P,D_nm,gap_nm,fill_factor,h_c_nm,t_r_nm,core_total_nm,aspect_ratio_h_over_D,aspect_ratio_max,neff_min,neff_max
0,0.3369438052177429,60.649884939193726,119.35011506080627,0.08916714042425156,266.4239196777344,726.8292236328125,993.253173828125,4.392818450927734,10.0,1.6656455993652344,1.6989446878433228
1,0.356558233499527,64.18048202991486,115.81951797008514,0.09985063225030899,286.447509765625,706.8056640625,993.253173828125,4.463156223297119,10.0,1.6752938032150269,1.7080200910568237
2,0.3712586462497711,66.8265563249588,113.1734436750412,0.10825377702713013,306.47576904296875,686.7774047851562,993.253173828125,4.586137771606445,10.0,1.682843565940857,1.7151247262954712
3,0.388894647359848,70.00103652477264,109.99896347522736,0.1187828779220581,342.7633972167969,650.48974609375,993.253173828125,4.896547317504883,10.0,1.6922560930252075,1.7239853143692017
4,0.40505334734916687,72.90960252285004,107.09039747714996,0.12885887920856476,367.79852294921875,625.4546508789062,993.253173828125,5.044582843780518,10.0,1.7012147903442383,1.7324222326278687
5,0.42542368173599243,76.57626271247864,103.42373728752136,0.1421455293893814,382.50567626953125,610.7474975585938,993.253173828125,4.9950947761535645,10.0,1.7129563093185425,1.7434852123260498
6,0.4954179525375366,89.17523145675659,90.82476854324341,0.19276730716228485,437.0646667480469,556.1884765625,993.253173828125,4.901188850402832,10.0,1.7569726705551147,1.7850062847137451
7,0.5215722322463989,93.8830018043518,86.1169981956482,0.21365784108638763,435.4233703613281,557.829833984375,993.253173828125,4.637936115264893,10.0,1.7748191356658936,1.801862359046936
8,0.5485714077949524,98.74285340309143,81.25714659690857,0.23635034263134003,433.1516418457031,560.1015625,993.253173828125,4.386663436889648,10.0,1.7940038442611694,1.819995403289795
9,0.5598858594894409,100.77945470809937,79.22054529190063,0.24620048701763153,548.4498291015625,444.8033447265625,993.253173828125,5.442079544067383,10.0,1.8022677898406982,1.8278104066848755
10,0.5389578342437744,97.0124101638794,82.9875898361206,0.2281389683485031,562.571533203125,430.681640625,993.253173828125,5.798964500427246,10.0,1.7870855331420898,1.8134547472000122
11,0.5508642792701721,99.15557026863098,80.84442973136902,0.23833021521568298,576.176025390625,417.0771484375,993.253173828125,5.810828685760498,10.0,1.7956680059432983,1.8215689659118652
12,0.6086268424987793,109.55283164978027,70.44716835021973,0.29093238711357117,661.542724609375,331.71044921875,993.253173828125,6.038572311401367,10.0,1.8393292427062988,1.862887978553772
13,0.6730057597160339,121.14103674888611,58.85896325111389,0.3557356894016266,658.8453369140625,334.4078369140625,993.253173828125,5.438663482666016,10.0,1.8917330503463745,1.9125642776489258
14,0.6349380016326904,114.28884029388428,65.71115970611572,0.3166303336620331,709.9111328125,283.342041015625,993.253173828125,6.211552619934082,10.0,1.860286831855774,1.8827440738677979
15,0.6279107332229614,113.02393198013306,66.97606801986694,0.309660404920578,742.8252563476562,250.42791748046875,993.253173828125,6.572282791137695,10.0,1.8546260595321655,1.8773794174194336
16,0.640008807182312,115.20158529281616,64.79841470718384,0.32170796394348145,722.73876953125,270.514404296875,993.253173828125,6.273687839508057,10.0,1.8643999099731445,1.8866428136825562
17,0.641127347946167,115.40292263031006,64.59707736968994,0.32283341884613037,751.372314453125,241.880859375,993.253173828125,6.510860443115234,10.0,1.8653103113174438,1.8875058889389038
18,0.6468192934989929,116.42747282981873,63.572527170181274,0.32859110832214355,777.9760131835938,215.27716064453125,993.253173828125,6.682065486907959,10.0,1.869961142539978,1.8919148445129395
19,0.7218434810638428,129.9318265914917,50.0681734085083,0.4092380404472351,806.3403930664062,186.91278076171875,993.253173828125,6.205873012542725,10.0,1.933928370475769,1.9526253938674927
20,0.7528005838394165,135.50410509109497,44.49589490890503,0.44509202241897583,811.2228393554688,182.03033447265625,993.253173828125,5.986702919006348,10.0,1.9616972208023071,1.979018211364746
21,0.7305253148078918,131.49455666542053,48.50544333457947,0.4191412627696991,841.6136474609375,151.6395263671875,993.253173828125,6.400368690490723,10.0,1.9416381120681763,1.9599509239196777
22,0.7511028051376343,135.19850492477417,44.80149507522583,0.4430866241455078,866.8640747070312,126.38909912109375,993.253173828125,6.411787509918213,10.0,1.960154414176941,1.9775512218475342
23,0.7616437673568726,137.09587812423706,42.90412187576294,0.4556104838848114,869.9308471679688,123.32232666015625,993.253173828125,6.345419883728027,10.0,1.9697694778442383,1.9866944551467896
24,0.7725006341934204,139.05011415481567,40.949885845184326,0.46869203448295593,871.0418701171875,122.2113037109375,993.253173828125,6.264229774475098,10.0,1.9797627925872803,1.9962000846862793
